campaign_name,product_name,total_impressions,total_clicks,total_spend_idr,total_revenue_idr,total_transaction,ROAS
Awareness Campaign,DermaGlow Brightening Serum,1119174,20198,26433165.0,43586000.0,151,1.648913401024811
Awareness Campaign,DermaGlow UV Shield Sunscreen,991328,18828,26571522.0,42454000.0,149,1.5977255649864543
Awareness Campaign,DermaGlow Hydrating Moisturizer,1162104,20936,30760651.0,41401000.0,152,1.3459077962946884
Awareness Campaign,DermaGlow Gentle Cleanser,767358,14842,19765191.0,25360000.0,94,1.2830637457538356
Flash Sale Campaign,DermaGlow Hydrating Moisturizer,1217607,23255,30862647.0,49242000.0,176,1.5955209545052957
Flash Sale Campaign,DermaGlow UV Shield Sunscreen,958057,18124,23565944.0,48121000.0,174,2.0419720932885186
Flash Sale Campaign,DermaGlow Brightening Serum,1012093,19818,27577304.0,42502000.0,149,1.5411948898267938
Flash Sale Campaign,DermaGlow Gentle Cleanser,946455,16246,23856112.0,40482000.0,142,1.6969236227596518
Retargeting Campaign,DermaGlow Gentle Cleanser,956195,18759,21075739.0,60251000.0,205,2.8587846907764423
Retargeting Campaign,DermaGlow UV Shield Sunscreen,1156032,20496,28417977.5,53195000.0,179,1.8718784614422332
Retargeting Campaign,DermaGlow Brightening Serum,931957,16723,23227899.5,43197000.0,150,1.859703241784734
Retargeting Campaign,DermaGlow Hydrating Moisturizer,1082102,19963,27241923.5,39091000.0,140,1.4349574104045921
