transaction_id,ad_id,transaction_date,product_type,product_name,variant,revenue_idr,order_status
TXN_001448,Organic,2023-03-15,Cleanser,DermaGlow Gentle Cleanser,Static_Catalog,403000.0,Success
TXN_001115,AD_0958,2023-11-30,Moisturizer,DermaGlow Hydrating Moisturizer,Video_Review,187000.0,Success
TXN_001538,AD_0317,2023-06-22,Moisturizer,DermaGlow Hydrating Moisturizer,Video_Review,236000.0,Success
TXN_000669,AD_0992,2023-11-15,Serum,DermaGlow Brightening Serum,Video_Review,521000.0,Success
TXN_001584,AD_0815,2023-10-12,Sunscreen,DermaGlow UV Shield Sunscreen,Video_Review,215000.0,Success
TXN_002405,AD_0698,2023-07-19,Cleanser,DermaGlow Gentle Cleanser,Static_Catalog,264000.0,Success
TXN_002481,AD_0543,2023-09-06,Moisturizer,DermaGlow Hydrating Moisturizer,Static_Catalog,132000.0,Success
TXN_000472,AD_0335,2023-01-13,Serum,DermaGlow Brightening Serum,Static_Catalog,122000.0,Success
TXN_000247,AD_0635,2023-04-28,Moisturizer,DermaGlow Hydrating Moisturizer,Static_Catalog,501000.0,Success
TXN_001132,AD_0801,2023-02-21,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,504000.0,Success
TXN_000671,AD_0992,2023-11-18,Serum,DermaGlow Brightening Serum,Video_Review,128000.0,Success
TXN_000917,AD_0406,2023-06-22,Moisturizer,DermaGlow Hydrating Moisturizer,Video_Review,247000.0,Success
TXN_001415,AD_0462,2023-08-13,Serum,DermaGlow Brightening Serum,Static_Catalog,291000.0,Success
TXN_001607,AD_0431,2023-12-02,Moisturizer,DermaGlow Hydrating Moisturizer,Static_Catalog,88000.0,Success
TXN_000403,AD_0874,2023-04-21,Serum,DermaGlow Brightening Serum,Static_Catalog,181000.0,Success
TXN_001104,AD_0517,2023-03-19,Cleanser,DermaGlow Gentle Cleanser,Static_Catalog,113000.0,Success
TXN_002073,AD_0488,2023-04-17,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,295000.0,Success
TXN_000720,AD_0946,2023-03-05,Serum,DermaGlow Brightening Serum,Video_Review,397000.0,Success
TXN_002012,AD_0424,2023-05-23,Serum,DermaGlow Brightening Serum,Static_Catalog,117000.0,Success
TXN_002437,AD_0858,2023-03-23,Moisturizer,DermaGlow Hydrating Moisturizer,Static_Catalog,365000.0,Success
TXN_000197,AD_0009,2023-07-09,Moisturizer,DermaGlow Hydrating Moisturizer,Static_Catalog,280000.0,Success
TXN_000892,AD_0459,2023-03-12,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,201000.0,Success
TXN_001265,AD_0663,2023-10-09,Cleanser,DermaGlow Gentle Cleanser,Static_Catalog,490000.0,Success
TXN_001035,AD_0418,2023-02-09,Moisturizer,DermaGlow Hydrating Moisturizer,Video_Review,195000.0,Success
TXN_001326,AD_0027,2023-09-14,Cleanser,DermaGlow Gentle Cleanser,Static_Catalog,195000.0,Success
TXN_001428,AD_0462,2023-08-13,Serum,DermaGlow Brightening Serum,Static_Catalog,75000.0,Success
TXN_000195,AD_0156,2023-12-10,Serum,DermaGlow Brightening Serum,Static_Catalog,494000.0,Success
TXN_001180,AD_0123,2023-03-03,Serum,DermaGlow Brightening Serum,Static_Catalog,298000.0,Success
TXN_002033,AD_0715,2023-02-11,Cleanser,DermaGlow Gentle Cleanser,Video_Review,292000.0,Success
TXN_000933,AD_0170,2023-08-30,Serum,DermaGlow Brightening Serum,Static_Catalog,207000.0,Success
TXN_001125,AD_0868,2023-11-23,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,280000.0,Success
TXN_001823,AD_0618,2023-12-28,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,300000.0,Success
TXN_001367,Organic,2023-05-20,Sunscreen,DermaGlow UV Shield Sunscreen,Video_Review,394000.0,Success
TXN_001993,AD_0984,2023-03-25,Cleanser,DermaGlow Gentle Cleanser,Static_Catalog,287000.0,Success
TXN_002275,AD_0850,2023-02-01,Cleanser,DermaGlow Gentle Cleanser,Video_Review,395000.0,Success
TXN_001274,AD_0977,2023-07-09,Cleanser,DermaGlow Gentle Cleanser,Video_Review,234000.0,Success
TXN_001267,AD_0663,2023-10-09,Cleanser,DermaGlow Gentle Cleanser,Static_Catalog,211000.0,Success
TXN_001609,AD_0431,2023-12-02,Moisturizer,DermaGlow Hydrating Moisturizer,Static_Catalog,530000.0,Success
TXN_001312,AD_0612,2023-09-13,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,408000.0,Success
TXN_000135,AD_0311,2023-06-21,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,254000.0,Success
TXN_002400,AD_0007,2023-11-06,Serum,DermaGlow Brightening Serum,Static_Catalog,502000.0,Success
TXN_000421,AD_0526,2023-05-30,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,155000.0,Success
TXN_001756,AD_0440,2023-09-28,Serum,DermaGlow Brightening Serum,Static_Catalog,230000.0,Success
TXN_000094,AD_0921,2023-12-06,Sunscreen,DermaGlow UV Shield Sunscreen,Video_Review,208000.0,Success
TXN_000057,AD_0758,2023-09-06,Moisturizer,DermaGlow Hydrating Moisturizer,Static_Catalog,111000.0,Success
TXN_000219,AD_0567,2023-03-28,Sunscreen,DermaGlow UV Shield Sunscreen,Video_Review,143000.0,Success
TXN_001037,AD_0418,2023-02-10,Moisturizer,DermaGlow Hydrating Moisturizer,Video_Review,319000.0,Success
TXN_001294,Organic,2023-09-14,Cleanser,DermaGlow Gentle Cleanser,Video_Review,123000.0,Success
TXN_001953,AD_0819,2023-09-22,Moisturizer,DermaGlow Hydrating Moisturizer,Static_Catalog,404000.0,Success
TXN_001450,AD_0274,2023-03-17,Cleanser,DermaGlow Gentle Cleanser,Static_Catalog,451000.0,Success
TXN_002360,AD_0361,2023-02-23,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,270000.0,Success
TXN_001466,AD_0365,2023-11-30,Serum,DermaGlow Brightening Serum,Static_Catalog,130000.0,Success
TXN_002178,AD_0168,2023-04-08,Cleanser,DermaGlow Gentle Cleanser,Static_Catalog,323000.0,Success
TXN_001473,AD_0728,2023-07-29,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,174000.0,Success
TXN_000573,AD_0506,2023-03-12,Serum,DermaGlow Brightening Serum,Static_Catalog,529000.0,Success
TXN_000519,AD_0861,2023-08-15,Moisturizer,DermaGlow Hydrating Moisturizer,Video_Review,353000.0,Success
TXN_002347,Organic,2023-07-17,Sunscreen,DermaGlow UV Shield Sunscreen,Video_Review,394000.0,Success
TXN_001289,AD_0524,2023-08-28,Serum,DermaGlow Brightening Serum,Static_Catalog,350000.0,Success
TXN_001124,AD_0868,2023-11-26,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,540000.0,Success
TXN_001342,AD_0531,2023-11-12,Moisturizer,DermaGlow Hydrating Moisturizer,Static_Catalog,98000.0,Success
TXN_001491,AD_0642,2023-09-28,Sunscreen,DermaGlow UV Shield Sunscreen,Video_Review,78000.0,Success
TXN_000044,AD_0859,2023-12-01,Serum,DermaGlow Brightening Serum,Video_Review,405000.0,Success
TXN_001879,AD_0471,2023-07-26,Moisturizer,DermaGlow Hydrating Moisturizer,Static_Catalog,351000.0,Success
