ad_id,variant,campaign_name,audience_type,product_type,impressions,clicks,spend_idr,sessions,add_to_cart,total_revenue,total_transactions,CTR,CPC,ROAS,conversion_rate
AD_0001,Video_Review,Flash Sale Campaign,cold,Cleanser,18964,501,237337.0,408,23,1450000.0,5,0.0264184771145328,473.72654690618765,6.109456174132141,0.00998003992015968
AD_0002,Static_Catalog,Awareness Campaign,cold,Cleanser,7769,105,427069.0,86,6,723000.0,2,0.013515252928304801,4067.3238095238094,1.692934865326212,0.01904761904761905
AD_0003,Static_Catalog,Awareness Campaign,cold,Moisturizer,18096,189,256730.0,158,9,0.0,0,0.010444297082228117,1358.3597883597884,0.0,0.0
AD_0004,Static_Catalog,Flash Sale Campaign,cold,Serum,6899,83,131551.0,70,12,806000.0,3,0.012030729091172634,1584.9518072289156,6.126901353847558,0.03614457831325301
AD_0005,Video_Review,Flash Sale Campaign,cold,Moisturizer,15792,505,305041.0,423,22,0.0,0,0.03197821681864235,604.0415841584158,0.0,0.0
AD_0006,Static_Catalog,Retargeting Campaign,warm,Cleanser,10152,104,300551.0,91,10,636000.0,2,0.01024428684003152,2889.9134615384614,2.1161134050460655,0.019230769230769232
AD_0007,Static_Catalog,Retargeting Campaign,warm,Serum,13873,161,137065.0,143,19,1045000.0,3,0.011605276436243062,851.335403726708,7.624119943092693,0.018633540372670808
AD_0008,Static_Catalog,Flash Sale Campaign,cold,Cleanser,14869,159,123247.0,139,18,0.0,0,0.010693388929988567,775.1383647798742,0.0,0.0
AD_0009,Static_Catalog,Retargeting Campaign,warm,Moisturizer,14208,149,476896.0,119,13,1238000.0,5,0.01048704954954955,3200.6442953020132,2.5959538347983626,0.03355704697986577
AD_0010,Static_Catalog,Awareness Campaign,cold,Cleanser,11736,158,161858.0,138,8,0.0,0,0.013462849352419905,1024.4177215189873,0.0,0.0
AD_0011,Video_Review,Flash Sale Campaign,cold,Serum,8104,149,397366.0,129,19,310000.0,1,0.01838598223099704,2666.8859060402683,0.7801372034849484,0.006711409395973154
AD_0012,Video_Review,Retargeting Campaign,warm,Sunscreen,17882,517,198806.0,453,56,1737000.0,5,0.028911754837266525,384.5377176015474,8.73716085027615,0.009671179883945842
AD_0013,Video_Review,Awareness Campaign,cold,Sunscreen,8484,174,150015.0,150,14,175000.0,1,0.02050919377652051,862.1551724137931,1.1665500116655,0.005747126436781609
AD_0014,Video_Review,Retargeting Campaign,warm,Moisturizer,8242,169,424767.0,145,22,0.0,0,0.02050473186119874,2513.414201183432,0.0,0.0
AD_0015,Video_Review,Retargeting Campaign,warm,Serum,9693,236,343307.0,193,35,0.0,0,0.024347467244403176,1454.6906779661017,0.0,0.0
AD_0016,Static_Catalog,Flash Sale Campaign,cold,Cleanser,17429,160,228376.0,138,6,1009000.0,3,0.00918010212863618,1427.35,4.418152520404946,0.01875
AD_0017,Video_Review,Awareness Campaign,cold,Moisturizer,12530,297,365892.0,258,23,1150000.0,3,0.023703112529928173,1231.959595959596,3.143003946519738,0.010101010101010102
AD_0018,Static_Catalog,Flash Sale Campaign,cold,Sunscreen,10304,116,413149.0,104,20,571000.0,2,0.01125776397515528,3561.6293103448274,1.3820679706352914,0.017241379310344827
AD_0019,Static_Catalog,Retargeting Campaign,warm,Sunscreen,5698,72,212859.0,57,5,319000.0,1,0.012636012636012635,2956.375,1.4986446426977482,0.013888888888888888
AD_0020,Video_Review,Awareness Campaign,cold,Moisturizer,6707,162,257381.0,133,20,0.0,0,0.02415386909199344,1588.7716049382716,0.0,0.0
AD_0021,Video_Review,Flash Sale Campaign,cold,Cleanser,15004,404,307440.0,344,21,0.0,0,0.02692615302585977,760.990099009901,0.0,0.0
AD_0022,Static_Catalog,Awareness Campaign,cold,Moisturizer,16986,214,418394.0,175,27,457000.0,1,0.012598610620511009,1955.1121495327102,1.0922718777037912,0.004672897196261682
AD_0023,Static_Catalog,Flash Sale Campaign,cold,Sunscreen,15680,209,171295.0,178,31,2940000.0,9,0.013329081632653061,819.5933014354067,17.16337312822908,0.0430622009569378
AD_0024,Video_Review,Flash Sale Campaign,cold,Cleanser,18561,396,408987.0,323,63,640000.0,3,0.02133505737837401,1032.7954545454545,1.5648419142906742,0.007575757575757576
AD_0025,Video_Review,Awareness Campaign,cold,Serum,11548,358,292506.0,293,26,240000.0,2,0.031001039140976794,817.0558659217877,0.8204959898258497,0.00558659217877095
AD_0026,Static_Catalog,Flash Sale Campaign,cold,Cleanser,13197,184,307440.0,162,30,2011000.0,6,0.013942562703644768,1670.8695652173913,6.541113713244861,0.03260869565217391
AD_0027,Static_Catalog,Retargeting Campaign,warm,Cleanser,9557,144,233272.0,115,8,1486000.0,5,0.015067489798053783,1619.9444444444443,6.3702458932062145,0.034722222222222224
AD_0028,Static_Catalog,Retargeting Campaign,warm,Serum,19259,260,297415.5,220,16,0.0,0,0.01350018173321564,1143.9057692307692,0.0,0.0
AD_0029,Video_Review,Flash Sale Campaign,cold,Sunscreen,11555,290,381974.0,239,33,0.0,0,0.025097360450021637,1317.151724137931,0.0,0.0
AD_0030,Video_Review,Retargeting Campaign,warm,Moisturizer,7225,164,460032.0,140,17,0.0,0,0.022698961937716262,2805.0731707317073,0.0,0.0
AD_0031,Video_Review,Awareness Campaign,cold,Cleanser,11642,337,205983.0,275,52,0.0,0,0.028946916337399074,611.2255192878338,0.0,0.0
AD_0032,Video_Review,Awareness Campaign,cold,Serum,8060,253,458896.0,216,29,0.0,0,0.03138957816377171,1813.8181818181818,0.0,0.0
AD_0033,Video_Review,Awareness Campaign,cold,Cleanser,11102,238,316386.0,194,25,0.0,0,0.021437578814627996,1329.3529411764705,0.0,0.0
AD_0034,Static_Catalog,Flash Sale Campaign,cold,Serum,8863,87,104014.0,78,5,0.0,0,0.009816089360261763,1195.5632183908046,0.0,0.0
AD_0035,Static_Catalog,Flash Sale Campaign,cold,Serum,12560,169,467654.0,140,23,367000.0,1,0.013455414012738854,2767.183431952663,0.7847682260816757,0.005917159763313609
AD_0036,Video_Review,Flash Sale Campaign,cold,Serum,9950,248,432460.0,203,12,0.0,0,0.02492462311557789,1743.7903225806451,0.0,0.0
AD_0037,Static_Catalog,Retargeting Campaign,warm,Cleanser,12919,162,330229.0,134,9,1509000.0,5,0.012539670253115566,2038.4506172839506,4.5695562776134135,0.030864197530864196
AD_0038,Static_Catalog,Retargeting Campaign,warm,Moisturizer,16907,146,284078.0,122,8,0.0,0,0.008635476429881115,1945.7397260273972,0.0,0.0
AD_0039,Video_Review,Awareness Campaign,cold,Cleanser,7004,170,297484.0,139,15,183000.0,1,0.024271844660194174,1749.9058823529413,0.6151591346089201,0.0058823529411764705
